family,stem,dataset,setting,seed,record_n,record_mse_norm,record_rmse_norm,record_mae_norm,record_ci,record_mse_raw,record_rmse_raw,record_mae_raw,unique_n,unique_mse_norm,unique_rmse_norm,unique_mae_norm,unique_ci,unique_mse_raw,unique_rmse_raw,unique_mae_raw,plan__fusion,plan__baseline,plan__variant
primary,davis_cold_target_attention_seed123,DAVIS,cold_target,123,4828,0.01346175038292195,0.11602478348577924,0.06599017133902384,0.7858504696415372,0.4522101505332372,0.6724657244300539,0.3824711155802249,4624,0.013393677394628876,0.11573105631000209,0.0657062239846728,0.785206943470438,0.44992342738003477,0.6707633169606361,0.3808253907824098,attention,,
primary,davis_cold_target_attention_seed2026,DAVIS,cold_target,2026,4828,0.013782266605126804,0.11739789864016649,0.06924731083080073,0.7847348011925003,0.4629770036517943,0.6804241351185261,0.4013491052829676,4624,0.013725031292749948,0.11715387869272595,0.06920880894216071,0.7824969459896158,0.4610543421486816,0.679009824780674,0.40112595295586667,attention,,
baseline,deepdta_style__kiba_warm_seed42,KIBA,warm,42,11803,0.0006333561423675347,0.02516656794971326,0.015239365432339787,0.8607621268564504,0.18737599198235091,0.4328694860836819,0.2621198208718607,11759,0.0006312259002263223,0.02512420944480288,0.015190955208345939,0.8605610209118151,0.1867457679935534,0.4321409121959565,0.2612871563296281,,deepdta_style,
baseline,deepdta_style__kiba_warm_seed123,KIBA,warm,123,11803,0.0006488439181423642,0.02547241484709222,0.01533844433254603,0.8614493446569881,0.19195799120092774,0.4381301076175064,0.26382399573987253,11759,0.0006468830360918157,0.0254338954171754,0.015296922576618438,0.8612028712915307,0.19137787174711074,0.43746756650877644,0.2631098140848458,,deepdta_style,
baseline,deepdta_style__kiba_warm_seed2026,KIBA,warm,2026,11803,0.0006667379723533238,0.0258212697664798,0.01565202605792004,0.8558103169844966,0.19725187869024938,0.44413047484973306,0.2692176577035981,11759,0.0006643402202807857,0.025774798161785586,0.015604561508729154,0.85564591039605,0.196542512911558,0.4433311549074326,0.26840125893772315,,deepdta_style,
baseline,graphdta_gcn_style__kiba_warm_seed42,KIBA,warm,42,11803,0.0005794235924814581,0.024071219173142398,0.014605130804278917,0.8653876269029684,0.17142025340331785,0.41402929051374837,0.25121087142536647,11759,0.0005767525912827906,0.02401567386693096,0.01455336050313751,0.8652855231692955,0.17063004791590355,0.4130739012766403,0.2503204129530688,,graphdta_gcn_style,
baseline,graphdta_gcn_style__kiba_warm_seed123,KIBA,warm,123,11803,0.0005855424920806424,0.024197985289702167,0.014542633490997544,0.867919153090746,0.17323050644349794,0.4162096904728408,0.25013590641878414,11759,0.0005830272939057459,0.024145958127722866,0.01449350990668213,0.8677671100458882,0.17248639468468288,0.41531481394802533,0.24929097195097386,,graphdta_gcn_style,
baseline,graphdta_gcn_style__kiba_warm_seed2026,KIBA,warm,2026,11803,0.0005870991160367826,0.024230128271158256,0.014896856895657017,0.866030232298977,0.17369102768646716,0.4167625555234865,0.25622861256131985,11759,0.0005846659559950948,0.024179866748911063,0.014851316204469903,0.8658415742061962,0.1729711865955466,0.415898048318992,0.2554453044984384,,graphdta_gcn_style,
baseline,deepdta_style__kiba_cold_drug_seed42,KIBA,cold_drug,42,11800,0.0012047396902655817,0.03470936026874569,0.02235533630948956,0.7599360525413771,0.3562821429996912,0.5968937451504172,0.38444270682464354,11800,0.001204739592563403,0.03470935886131294,0.022355333944850272,0.7599310791778634,0.35628211410586286,0.5968937209469227,0.3844426661601544,,deepdta_style,
baseline,deepdta_style__kiba_cold_drug_seed123,KIBA,cold_drug,123,11800,0.0011989935240008373,0.034626485874267365,0.022207943584959387,0.7597617280309967,0.3545828079089842,0.5954685616461916,0.38190800740432723,11800,0.001198993435228211,0.03462648459240717,0.022207941401003073,0.7597603888851029,0.3545827816559257,0.5954685396021571,0.3819079698470271,,deepdta_style,
baseline,deepdta_style__kiba_cold_drug_seed2026,KIBA,cold_drug,2026,11800,0.0011515120577520483,0.0339339366674727,0.021497651868957583,0.7683971289862617,0.3405409375492912,0.5835588552573693,0.36969318468126494,11800,0.0011515119648150011,0.03393393529809063,0.021497649169482585,0.7683935546397089,0.340540910064673,0.5835588317082289,0.3696931382586362,,deepdta_style,
baseline,graphdta_gcn_style__kiba_cold_drug_seed42,KIBA,cold_drug,42,11800,0.0011957353243574307,0.03457940607294218,0.021866313931295428,0.7592885365341846,0.3536192484275017,0.5946589345393725,0.37603303299249585,11800,0.001195735254464555,0.034579405062328,0.02186631193808101,0.759289071815034,0.3536192277578219,0.5946589171599311,0.37603299871536683,,graphdta_gcn_style,
baseline,graphdta_gcn_style__kiba_cold_drug_seed123,KIBA,cold_drug,123,11800,0.0011764468280764013,0.03429937066589417,0.021923720230490475,0.7639810727048867,0.34791498978492985,0.5898431908439139,0.37702024395393235,11800,0.0011764467229927282,0.03429936913403406,0.021923717742670892,0.7639809347256368,0.3479149587081449,0.5898431645006534,0.37702020117112284,,graphdta_gcn_style,
baseline,graphdta_gcn_style__kiba_cold_drug_seed2026,KIBA,cold_drug,2026,11800,0.0011756105815795156,0.034287178092976905,0.02237029889882621,0.7617965069410868,0.34766768350259036,0.5896335162646289,0.38470001712702745,11800,0.0011756104772203296,0.03428717657113705,0.02237029634460449,0.761796392302374,0.3476676526400606,0.5896334900936857,0.38469997320230626,,graphdta_gcn_style,
baseline,deepdta_style__kiba_cold_target_seed42,KIBA,cold_target,42,19640,0.0011783842574612353,0.03432760197656159,0.024485156204088643,0.7097114340484509,0.3486204749713389,0.5904409157327589,0.4211490817468931,19627,0.0011771817341730956,0.03431008210676704,0.02447598817500696,0.7097029255707296,0.3482647130564789,0.590139570827511,0.42099139000104513,,deepdta_style,
baseline,deepdta_style__kiba_cold_target_seed123,KIBA,cold_target,123,19640,0.0012929960245584215,0.035958253914204756,0.026198175619308914,0.6856346273074373,0.3825279278499175,0.6184884217589829,0.45061332317224073,19627,0.001291452668143886,0.03593678711493121,0.026186797857554536,0.6856293252149103,0.38207133175838043,0.6181191889582303,0.4504176236277797,,deepdta_style,
baseline,deepdta_style__kiba_cold_target_seed2026,KIBA,cold_target,2026,19640,0.0013499319507980121,0.036741420097731826,0.026998491215001783,0.6561056788726096,0.39937220383451255,0.631959020692412,0.4643788950732068,19627,0.0013484942252762135,0.03672184942614156,0.02698710024809112,0.6561464671230751,0.39894685823852877,0.6316224016281633,0.4641829683976876,,deepdta_style,
baseline,graphdta_gcn_style__kiba_cold_target_seed42,KIBA,cold_target,42,19640,0.0012896547732034953,0.03591176371613479,0.0262821091866299,0.6835307610502708,0.38153943141763946,0.617688782007282,0.4520569955960691,19627,0.0012876445444170352,0.03588376435683741,0.02626307745773583,0.683605173554122,0.3809447129207659,0.6172071880015381,0.4517296464429338,,graphdta_gcn_style,
baseline,graphdta_gcn_style__kiba_cold_target_seed123,KIBA,cold_target,123,19640,0.001265589460451584,0.03557512418040989,0.025211595690784534,0.7050682473800413,0.3744198006955013,0.6118985215666902,0.4336439713124973,19627,0.0012645313076538685,0.035560248981888025,0.025201579627415024,0.7050308550716651,0.37410675023798173,0.6116426654820457,0.43347169322467827,,graphdta_gcn_style,
baseline,graphdta_gcn_style__kiba_cold_target_seed2026,KIBA,cold_target,2026,19640,0.001322946203586538,0.03637232744252886,0.025974947994085534,0.6917248174284303,0.3913885737488653,0.6256105607715277,0.44677376794948626,19627,0.0013212053518405805,0.0363483885728182,0.025959719414374697,0.6917551936005449,0.3908735494189936,0.6251988079155251,0.4465118336449601,,graphdta_gcn_style,
baseline,deepdta_style__davis_warm_seed42,DAVIS,warm,42,3005,0.0064509252023590286,0.08031765187279212,0.04537050036392709,0.8624498413556546,0.21670093218622288,0.46551147374283147,0.2629619765566878,2559,0.00612730654411947,0.07827711379528163,0.04348388593161604,0.8721463294282538,0.20582986133769995,0.4536847598693392,0.2520273856630125,,deepdta_style,
baseline,deepdta_style__davis_warm_seed123,DAVIS,warm,123,3005,0.005654295325714239,0.07519504854519504,0.04064160227030206,0.8698173774825632,0.18994036196395572,0.435821479466026,0.2355538505792303,2559,0.0054286334579862336,0.07367926070466664,0.03877692428305238,0.8821357530429411,0.18235987768277692,0.4270361550065485,0.2247464006891961,,deepdta_style,
baseline,deepdta_style__davis_warm_seed2026,DAVIS,warm,2026,3005,0.005966678404645554,0.0772442774880156,0.04237116873163587,0.8765519983413859,0.20043400470203362,0.4476985645521254,0.2455782102757371,2559,0.005722454655146838,0.07564690776989393,0.04095895529741274,0.8791141923523936,0.19222998550816162,0.438440401318311,0.23739319064834763,,deepdta_style,
baseline,graphdta_gcn_style__davis_warm_seed42,DAVIS,warm,42,3005,0.006927876088275445,0.08323386383122824,0.04706482429099199,0.8656885566994977,0.23272277375824055,0.48241348836681647,0.27278207475297117,2559,0.006334410547343418,0.07958901021713626,0.04424266430061874,0.8742203838138851,0.2127869456551117,0.4612883541290759,0.25642517405152343,,graphdta_gcn_style,
baseline,graphdta_gcn_style__davis_warm_seed123,DAVIS,warm,123,3005,0.005992523986449144,0.07741139442258578,0.043083779516547745,0.8693557036294433,0.20130221530656597,0.44866715425420434,0.2497084168860443,2559,0.005682601626724667,0.07538303275090932,0.041648991466582276,0.8754509114826075,0.19089123360225352,0.436911013368001,0.24139255749431474,,graphdta_gcn_style,
baseline,graphdta_gcn_style__davis_warm_seed2026,DAVIS,warm,2026,3005,0.006390486142318016,0.07994051627502799,0.04473518692104211,0.8672616595064573,0.214670649670072,0.4633256410669196,0.2592797760666333,2559,0.0061904889482532225,0.07867966032116065,0.043204846456572375,0.8774148336418881,0.20795229888643232,0.45601787123580184,0.25041010634481564,,graphdta_gcn_style,
baseline,deepdta_style__davis_cold_drug_seed42,DAVIS,cold_drug,42,2652,0.01693831618911833,0.13014728652230262,0.07580499075490807,0.6822313952619019,0.5689957320392827,0.754318057611829,0.4393566313326565,2274,0.015077341604828386,0.1227898269598438,0.0701956101264589,0.6662161677104613,0.5064814547007347,0.711675104735816,0.40684533422365293,,deepdta_style,
baseline,deepdta_style__davis_cold_drug_seed123,DAVIS,cold_drug,123,2652,0.0181890168166582,0.13486666310344525,0.0843178147273096,0.6560136496867809,0.6110095491851817,0.7816709980453296,0.48869593770807546,2274,0.015111157462435775,0.12292744796194126,0.07633279801008955,0.6428076489104532,0.5076174046050242,0.712472739552205,0.4424157388573738,,deepdta_style,
baseline,deepdta_style__davis_cold_drug_seed2026,DAVIS,cold_drug,2026,2652,0.023842656366556546,0.15441067439317965,0.09512840482640905,0.48973108283403993,0.8009278821802454,0.8949457425901558,0.5513528208678558,2274,0.01902062318714512,0.13791527539451573,0.08574158361099515,0.48580928287953107,0.6389450576655181,0.7993403891118714,0.49694793133412635,,deepdta_style,
baseline,graphdta_gcn_style__davis_cold_drug_seed42,DAVIS,cold_drug,42,2652,0.019693281918026898,0.14033275425939198,0.08646491712077238,0.6664012621539895,0.6615411612402391,0.8133518065635799,0.5011402855712407,2274,0.016587737224944138,0.12879338967875695,0.07838168177298686,0.6479296035557165,0.5572190045221744,0.7464710339471816,0.4542908233220528,,graphdta_gcn_style,
